Network Architecture,Connections
"The network has 3 dense blocks with: (12, 3) (10, 3) (11, 5) and 1 fully-connected layers with: (4) neurons",( [ zero - ][ one - ][ zero - one - zero - one - zero - zero - ]
"The network has 3 dense blocks with: (5, 5) (10, 3) (11, 5) and 1 fully-connected layers with: (4) neurons",( [ zero - one - one - zero - one - zero - ][ one - ][ zero - one - zero - one - zero - zero - ]
"The network has 3 dense blocks with: (5, 5) (10, 3) (11, 5) and 1 fully-connected layers with: (4) neurons",( [ zero - one - one - zero - one - zero - ][ one - ][ zero - one - zero - one - zero - zero - ]
"The network has 3 dense blocks with: (7, 5) (10, 3) (11, 5) and 1 fully-connected layers with: (4) neurons",( [ one - one - one - zero - one - zero - ][ one - ][ zero - one - zero - one - zero - zero - ]
"The network has 3 dense blocks with: (12, 3) (9, 3) (6, 3) and 1 fully-connected layers with: (4) neurons",( [ zero - ][ one - ][ zero - ]
"The network has 3 dense blocks with: (5, 5) (10, 3) (11, 5) and 1 fully-connected layers with: (4) neurons",( [ zero - one - one - zero - one - zero - ][ one - ][ zero - one - zero - one - zero - zero - ]
"The network has 3 dense blocks with: (12, 3) (9, 3) (11, 5) and 1 fully-connected layers with: (4) neurons",( [ zero - ][ zero - ][ zero - one - zero - one - zero - zero - ]
"The network has 3 dense blocks with: (5, 5) (10, 3) (11, 5) and 1 fully-connected layers with: (4) neurons",( [ zero - one - one - zero - one - zero - ][ one - ][ zero - one - zero - one - zero - zero - ]
"The network has 3 dense blocks with: (12, 3) (10, 3) (11, 5) and 1 fully-connected layers with: (4) neurons",( [ zero - ][ one - ][ zero - one - zero - one - zero - zero - ]
"The network has 3 dense blocks with: (12, 3) (10, 3) (11, 5) and 1 fully-connected layers with: (4) neurons",( [ zero - ][ one - ][ zero - one - zero - one - zero - zero - ]
"The network has 3 dense blocks with: (12, 3) (10, 3) (11, 5) and 1 fully-connected layers with: (4) neurons",( [ zero - ][ one - ][ zero - one - zero - one - zero - zero - ]
"The network has 3 dense blocks with: (7, 5) (10, 3) (11, 5) and 1 fully-connected layers with: (4) neurons",( [ one - one - one - zero - one - zero - ][ one - ][ zero - one - zero - one - zero - zero - ]
"The network has 3 dense blocks with: (7, 5) (10, 3) (11, 5) and 1 fully-connected layers with: (4) neurons",( [ one - one - one - zero - one - zero - ][ one - ][ zero - one - zero - one - zero - zero - ]
"The network has 3 dense blocks with: (7, 5) (9, 3) (9, 4) and 1 fully-connected layers with: (4) neurons",( [ one - one - one - zero - one - zero - ][ one - ][ one - ]
"The network has 3 dense blocks with: (5, 5) (10, 3) (11, 5) and 1 fully-connected layers with: (4) neurons",( [ zero - one - one - zero - one - zero - ][ one - ][ zero - one - zero - one - zero - zero - ]
"The network has 3 dense blocks with: (5, 5) (10, 3) (11, 5) and 1 fully-connected layers with: (4) neurons",( [ zero - one - one - zero - one - zero - ][ one - ][ zero - one - zero - one - zero - zero - ]
"The network has 3 dense blocks with: (8, 5) (10, 3) (11, 5) and 1 fully-connected layers with: (4) neurons",( [ one - ][ one - ][ zero - one - zero - one - zero - zero - ]
"The network has 3 dense blocks with: (12, 3) (10, 3) (11, 5) and 1 fully-connected layers with: (4) neurons",( [ zero - ][ one - ][ zero - one - zero - one - zero - zero - ]
"The network has 3 dense blocks with: (12, 3) (10, 3) (11, 5) and 1 fully-connected layers with: (4) neurons",( [ zero - ][ one - ][ zero - one - zero - one - zero - zero - ]
"The network has 3 dense blocks with: (12, 3) (10, 3) (11, 5) and 1 fully-connected layers with: (4) neurons",( [ zero - ][ one - ][ zero - one - zero - one - zero - zero - ]
