Accuracy,No. Params
0.9528415961305925,67963
0.9588875453446191,752657
0.9238210399032648,12431
0.9383313180169287,19998
0.9407496977025392,39759
0.9419588875453446,57414
0.9371221281741233,24367
0.9383313180169287,42592
0.9516324062877872,67963
0.939540507859734,65719
0.9552599758162031,996690
0.9226118500604595,21102
0.9528415961305925,76726
0.9359129383313181,29885
0.9310761789600968,29213
0.9383313180169287,51190
0.9516324062877872,129833
0.9455864570737605,73149
0.9480048367593712,88325
0.9407496977025392,67963
