Accuracy,Fitness,No. Params
0.9492140266021766,0.9595953686215235,32363
0.9504232164449818,0.9603986015114874,32651
0.9504232164449818,0.9603986015114874,32651
0.9492140266021766,0.9618660686215235,17225
0.9492140266021766,0.9618660686215235,17225
0.9528415961305925,0.9649669672914147,13481
0.9528415961305925,0.9649669672914147,13481
0.9528415961305925,0.9649669672914147,13481
0.9528415961305925,0.9649669672914147,13481
0.9552599758162031,0.9654814330713422,21337
0.9552599758162031,0.9654814330713422,21337
0.9552599758162031,0.9654814330713422,21337
0.9552599758162031,0.9654814330713422,21337
0.9540507859733979,0.9658134001813785,13481
0.9540507859733979,0.9658134001813785,13481
0.9540507859733979,0.9658134001813785,13481
0.9540507859733979,0.9658134001813785,13481
0.9540507859733979,0.9658134001813785,13481
0.9540507859733979,0.9658134001813785,13481
0.9540507859733979,0.9658134001813785,13481
0.9540507859733979,0.9658134001813785,13481
0.9540507859733979,0.9658134001813785,13481
0.9540507859733979,0.9658134001813785,13481
0.9540507859733979,0.9658134001813785,13481
0.9588875453446191,0.9691991317412333,13481
0.9588875453446191,0.9691991317412333,13481
0.9588875453446191,0.9691991317412333,13481
0.9588875453446191,0.9691991317412333,13481
0.9588875453446191,0.9691991317412333,13481
0.9588875453446191,0.9691991317412333,13481
0.9588875453446191,0.9691991317412333,13481
0.9588875453446191,0.9691991317412333,13481
0.9588875453446191,0.9691991317412333,13481
0.9588875453446191,0.9691991317412333,13481
0.9588875453446191,0.9691991317412333,13481
0.9588875453446191,0.9691991317412333,13481
0.9588875453446191,0.9691991317412333,13481
0.9588875453446191,0.9691991317412333,13481
0.9588875453446191,0.9691991317412333,13481
0.9588875453446191,0.9691991317412333,13481
0.9588875453446191,0.9691991317412333,13481
0.9588875453446191,0.9691991317412333,13481
0.9588875453446191,0.9691991317412333,13481
0.9588875453446191,0.9691991317412333,13481
0.9588875453446191,0.9691991317412333,13481
0.9588875453446191,0.9691991317412333,13481
0.9588875453446191,0.9691991317412333,13481
0.9588875453446191,0.9691991317412333,13481
0.9588875453446191,0.9691991317412333,13481
0.9588875453446191,0.9691991317412333,13481
