Accuracy,No. Params
0.939540507859734,9598
0.9552599758162031,133446
0.9504232164449818,25572
0.9528415961305925,131575
0.9625151148730351,136637
0.9516324062877872,78885
0.9467956469165659,17162
0.9407496977025392,24449
0.9576783555018138,136757
0.9492140266021766,32778
0.9504232164449818,72232
0.9117291414752116,14728
0.9286577992744861,16664
0.9020556227327691,9598
0.9480048367593712,29079
0.9105199516324063,11037
0.9359129383313181,25124
0.9274486094316807,17573
0.8948004836759371,11322
0.8428053204353083,10943
