Accuracy,Fitness,No. Params
0.9516324062877872,0.961288234401451,32363
0.9564691656590084,0.9640769659613058,36343
0.9564691656590084,0.9640769659613058,36343
0.9564691656590084,0.9640769659613058,36343
0.9564691656590084,0.9640769659613058,36343
0.9564691656590084,0.9640769659613058,36343
0.9564691656590084,0.9640769659613058,36343
0.9564691656590084,0.9640769659613058,36343
0.9564691656590084,0.9640769659613058,36343
0.9576783555018138,0.9668955988512696,23195
0.9576783555018138,0.9668955988512696,23195
0.9576783555018138,0.9668955988512696,23195
0.9576783555018138,0.9668955988512696,23195
0.9576783555018138,0.9668955988512696,23195
0.9576783555018138,0.9668955988512696,23195
0.9576783555018138,0.9668955988512696,23195
0.9576783555018138,0.9668955988512696,23195
0.9576783555018138,0.9668955988512696,23195
0.9576783555018138,0.9668955988512696,23195
0.9576783555018138,0.9668955988512696,23195
0.9576783555018138,0.9668955988512696,23195
0.9576783555018138,0.9668955988512696,23195
0.9576783555018138,0.9668955988512696,23195
0.9576783555018138,0.9668955988512696,23195
0.9576783555018138,0.9668955988512696,23195
0.9588875453446191,0.9675356317412334,24571
0.9588875453446191,0.9675356317412334,24571
0.9588875453446191,0.9675356317412334,24571
0.9588875453446191,0.9675356317412334,24571
0.9588875453446191,0.9675356317412334,24571
0.9588875453446191,0.9675356317412334,24571
0.9588875453446191,0.9676964317412333,23499
0.9625151148730351,0.9690093304111245,31675
0.9625151148730351,0.9690093304111245,31675
0.9625151148730351,0.9690093304111245,31675
0.9625151148730351,0.9690093304111245,31675
0.9625151148730351,0.9690093304111245,31675
0.9625151148730351,0.9690093304111245,31675
0.9625151148730351,0.9690093304111245,31675
0.9625151148730351,0.9690093304111245,31675
0.9625151148730351,0.9690093304111245,31675
0.9625151148730351,0.9690093304111245,31675
0.9625151148730351,0.9690093304111245,31675
0.9625151148730351,0.9690093304111245,31675
0.9625151148730351,0.9690093304111245,31675
0.9625151148730351,0.9690093304111245,31675
0.9625151148730351,0.9690093304111245,31675
0.9625151148730351,0.9690093304111245,31675
0.9625151148730351,0.9690093304111245,31675
0.9625151148730351,0.9690093304111245,31675
