Network Architecture,Connections
"The network has 3 dense blocks with: (7, 3) (11, 3) (9, 3) and 3 fully-connected layers with: (4)(8)(128) neurons",( [ zero - one - one - ][ zero - ][ one - ]
"The network has 3 dense blocks with: (7, 3) (8, 3) (11, 4) and 3 fully-connected layers with: (4)(8)(128) neurons",( [ zero - one - one - ][ zero - one - one - one - zero - zero - ][ zero - one - one - ]
"The network has 3 dense blocks with: (7, 3) (11, 3) (9, 3) and 4 fully-connected layers with: (4)(128)(8)(128) neurons",( [ zero - one - one - ][ zero - ][ one - ]
"The network has 3 dense blocks with: (7, 3) (8, 3) (11, 4) and 3 fully-connected layers with: (4)(128)(4) neurons",( [ zero - one - one - ][ zero - one - one - one - zero - zero - ][ zero - one - one - ]
"The network has 3 dense blocks with: (7, 3) (11, 3) (9, 3) and 4 fully-connected layers with: (4)(8)(8)(128) neurons",( [ zero - one - one - ][ zero - ][ one - ]
"The network has 3 dense blocks with: (7, 3) (8, 3) (11, 4) and 3 fully-connected layers with: (4)(8)(128) neurons",( [ zero - one - one - ][ zero - one - one - one - zero - zero - ][ zero - one - one - ]
"The network has 3 dense blocks with: (7, 3) (11, 3) (9, 3) and 3 fully-connected layers with: (4)(128)(8) neurons",( [ zero - one - one - ][ zero - ][ one - ]
"The network has 3 dense blocks with: (7, 3) (8, 3) (11, 4) and 4 fully-connected layers with: (4)(16)(8)(128) neurons",( [ zero - one - one - ][ zero - one - one - one - zero - zero - ][ zero - one - one - ]
"The network has 3 dense blocks with: (7, 3) (11, 3) (9, 3) and 3 fully-connected layers with: (4)(128)(4) neurons",( [ zero - one - one - ][ zero - ][ one - ]
"The network has 3 dense blocks with: (7, 3) (11, 3) (9, 3) and 3 fully-connected layers with: (4)(8)(128) neurons",( [ zero - one - one - ][ zero - ][ one - ]
"The network has 3 dense blocks with: (7, 3) (11, 3) (9, 3) and 3 fully-connected layers with: (4)(8)(128) neurons",( [ zero - one - one - ][ zero - ][ one - ]
"The network has 3 dense blocks with: (7, 3) (11, 3) (9, 3) and 3 fully-connected layers with: (4)(8)(128) neurons",( [ zero - one - one - ][ zero - ][ one - ]
"The network has 3 dense blocks with: (7, 3) (11, 3) (9, 3) and 3 fully-connected layers with: (4)(128)(8) neurons",( [ zero - one - one - ][ zero - ][ one - ]
"The network has 3 dense blocks with: (7, 3) (8, 3) (11, 4) and 4 fully-connected layers with: (4)(8)(16)(128) neurons",( [ zero - one - one - ][ zero - one - one - one - zero - zero - ][ zero - one - one - ]
"The network has 3 dense blocks with: (7, 3) (11, 3) (9, 3) and 3 fully-connected layers with: (4)(8)(128) neurons",( [ zero - one - one - ][ zero - ][ one - ]
"The network has 3 dense blocks with: (7, 3) (11, 3) (9, 3) and 3 fully-connected layers with: (4)(8)(128) neurons",( [ zero - one - one - ][ zero - ][ one - ]
"The network has 3 dense blocks with: (7, 3) (11, 3) (9, 3) and 3 fully-connected layers with: (4)(8)(128) neurons",( [ zero - one - one - ][ zero - ][ one - ]
"The network has 3 dense blocks with: (7, 3) (11, 3) (6, 3) and 3 fully-connected layers with: (4)(4)(128) neurons",( [ zero - one - one - ][ one - ][ zero - ]
"The network has 3 dense blocks with: (7, 3) (11, 3) (6, 3) and 4 fully-connected layers with: (4)(128)(4)(4) neurons",( [ zero - one - one - ][ one - ][ zero - ]
"The network has 3 dense blocks with: (7, 3) (11, 3) (10, 4) and 3 fully-connected layers with: (4)(4)(64) neurons",( [ zero - one - one - ][ zero - ][ zero - ]
